cwe_id,name,type,score
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7359237866277595
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7268263441271464
184,Incomplete List of Disallowed Inputs,Base,0.7190296651711057
41,Improper Resolution of Path Equivalence,Base,0.7157454601442316
943,Improper Neutralization of Special Elements in Data Query Logic,Class,0.7151738671733869
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.713413042512354
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7105032531931846
138,Improper Neutralization of Special Elements,Class,0.7095416596792266
23,Relative Path Traversal,Base,0.7094950011339878
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),Variant,0.7062968618345365
