cwe_id,name,type,score
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7617972776249778
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7614137247995532
184,Incomplete List of Disallowed Inputs,Base,0.7460981659351114
138,Improper Neutralization of Special Elements,Class,0.745542471977904
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7347201922774106
99,Improper Control of Resource Identifiers ('Resource Injection'),Class,0.7287760426332299
183,Permissive List of Allowed Inputs,Base,0.7284328871660792
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,0.7283713111093941
115,Misinterpretation of Input,Base,0.7272843335758856
158,Improper Neutralization of Null Byte or NUL Character,Variant,0.7267982569806871
