cwe_id,name,type,score
23,Relative Path Traversal,Base,0.8396045238818848
36,Absolute Path Traversal,Base,0.8192399407549313
41,Improper Resolution of Path Equivalence,Base,0.8125698157966623
668,Exposure of Resource to Wrong Sphere,Class,0.7992745004066582
59,Improper Link Resolution Before File Access ('Link Following'),Base,0.7986192544788857
73,External Control of File Name or Path,Base,0.797160448145891
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7969821993749318
923,Improper Restriction of Communication Channel to Intended Endpoints,Class,0.7884988692154532
138,Improper Neutralization of Special Elements,Class,0.7856252352004762
425,Direct Request ('Forced Browsing'),Base,0.7840025340907462
