cwe_id,name,type,score
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7943949578190139
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7844390260874972
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7709757516914904
668,Exposure of Resource to Wrong Sphere,Class,0.7687039203879377
183,Permissive List of Allowed Inputs,Base,0.766711831978065
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7661154738462336
184,Incomplete List of Disallowed Inputs,Base,0.7628855201694732
138,Improper Neutralization of Special Elements,Class,0.7622791434258329
41,Improper Resolution of Path Equivalence,Base,0.7598406586553251
472,External Control of Assumed-Immutable Web Parameter,Base,0.7579555262661275
