cwe_id,name,type,score
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.8078095136153377
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7829922535679938
116,Improper Encoding or Escaping of Output,Class,0.7827175615244197
451,User Interface (UI) Misrepresentation of Critical Information,Class,0.7755306929763848
611,Improper Restriction of XML External Entity Reference,Base,0.7744308968459954
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),Variant,0.7710138754571355
319,Cleartext Transmission of Sensitive Information,Base,0.7705398374865411
184,Incomplete List of Disallowed Inputs,Base,0.7698427669702701
472,External Control of Assumed-Immutable Web Parameter,Base,0.7696157661061768
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7676706796682873
