cwe_id,name,type,score
366,Race Condition within a Thread,Base,0.8166650569801979
667,Improper Locking,Class,0.8050995009048791
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.7935782995788786
662,Improper Synchronization,Class,0.7888932435722877
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,0.7867872727502424
404,Improper Resource Shutdown or Release,Class,0.779352332038592
131,Incorrect Calculation of Buffer Size,Base,0.7630084529011711
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7595943236157316
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7552553073295765
703,Improper Check or Handling of Exceptional Conditions,Pillar,0.7506927110324618
