cwe_id,name,type,score
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7900616557818451
184,Incomplete List of Disallowed Inputs,Base,0.7671195621002036
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.764918025976316
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7611994971262699
138,Improper Neutralization of Special Elements,Class,0.7477132810581151
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,0.7429460512627953
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7418762686932985
116,Improper Encoding or Escaping of Output,Class,0.7416810390805423
183,Permissive List of Allowed Inputs,Base,0.7389640117001193
41,Improper Resolution of Path Equivalence,Base,0.7382188763658569
