cwe_id,name,type,score
941,Incorrectly Specified Destination in a Communication Channel,Base,0.8154161949131377
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7833635532684424
203,Observable Discrepancy,Base,0.7757382760984116
451,User Interface (UI) Misrepresentation of Critical Information,Class,0.7745391896632765
191,Integer Underflow (Wrap or Wraparound),Base,0.7691974556361665
799,Improper Control of Interaction Frequency,Class,0.7649455936832905
668,Exposure of Resource to Wrong Sphere,Class,0.7645294067949093
1021,Improper Restriction of Rendered UI Layers or Frames,Base,0.7620469315943876
131,Incorrect Calculation of Buffer Size,Base,0.7608519116523751
755,Improper Handling of Exceptional Conditions,Class,0.7587714220234789
