cwe_id,name,type,score
59,Improper Link Resolution Before File Access ('Link Following'),Base,0.7796879179365293
41,Improper Resolution of Path Equivalence,Base,0.7768471043289327
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7744136157019051
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,0.7736010633950391
303,Incorrect Implementation of Authentication Algorithm,Base,0.771877705862994
538,Insertion of Sensitive Information into Externally-Accessible File or Directory,Base,0.7703128965028243
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.769015292654622
1390,Weak Authentication,Class,0.76679210418241
668,Exposure of Resource to Wrong Sphere,Class,0.7663244471649429
319,Cleartext Transmission of Sensitive Information,Base,0.7662903517463053
