cwe_id,name,type,score
191,Integer Underflow (Wrap or Wraparound),Base,0.8063269913467994
681,Incorrect Conversion between Numeric Types,Base,0.7905008221894269
131,Incorrect Calculation of Buffer Size,Base,0.7754087789901848
197,Numeric Truncation Error,Base,0.7668982686235689
190,Integer Overflow or Wraparound,Base,0.7628588818837714
805,Buffer Access with Incorrect Length Value,Base,0.757663269451139
680,Integer Overflow to Buffer Overflow,Compound,0.7546319006419198
125,Out-of-bounds Read,Base,0.749328346934985
124,Buffer Underwrite ('Buffer Underflow'),Base,0.749140774590445
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7466636951513983
