cwe_id,name,type,score
131,Incorrect Calculation of Buffer Size,Base,0.7762818339047315
191,Integer Underflow (Wrap or Wraparound),Base,0.7694065023931547
126,Buffer Over-read,Variant,0.7660365553375277
125,Out-of-bounds Read,Base,0.764145148624677
1325,Improperly Controlled Sequential Memory Allocation,Base,0.7637304585491471
124,Buffer Underwrite ('Buffer Underflow'),Base,0.7636185965470921
789,Memory Allocation with Excessive Size Value,Variant,0.7544884405372165
190,Integer Overflow or Wraparound,Base,0.7527534415430616
805,Buffer Access with Incorrect Length Value,Base,0.751885558138617
193,Off-by-one Error,Base,0.7489919816348309
