cwe_id,name,type,score
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7729360175406655
668,Exposure of Resource to Wrong Sphere,Class,0.7613869174375689
667,Improper Locking,Class,0.7594930089263565
404,Improper Resource Shutdown or Release,Class,0.7566301695892562
41,Improper Resolution of Path Equivalence,Base,0.7549688246830258
703,Improper Check or Handling of Exceptional Conditions,Pillar,0.7532727378117199
755,Improper Handling of Exceptional Conditions,Class,0.7509384435451096
248,Uncaught Exception,Base,0.7487714106402454
23,Relative Path Traversal,Base,0.7455286517762635
203,Observable Discrepancy,Base,0.7448849493301293
