cwe_id,name,type,score
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7880694224189568
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7611243860827125
183,Permissive List of Allowed Inputs,Base,0.760157897872364
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7559160757002343
606,Unchecked Input for Loop Condition,Base,0.7529671312043372
1288,Improper Validation of Consistency within Input,Base,0.750733597285424
538,Insertion of Sensitive Information into Externally-Accessible File or Directory,Base,0.7502740286832459
184,Incomplete List of Disallowed Inputs,Base,0.7490863790041946
125,Out-of-bounds Read,Base,0.746305785903846
115,Misinterpretation of Input,Base,0.7461354971794496
