cwe_id,name,type,score
664,Improper Control of a Resource Through its Lifetime,Pillar,0.802877487168105
404,Improper Resource Shutdown or Release,Class,0.7947895249725458
274,Improper Handling of Insufficient Privileges,Base,0.787210612867855
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7837938965215485
280,Improper Handling of Insufficient Permissions or Privileges ,Base,0.7778631192032956
653,Improper Isolation or Compartmentalization,Class,0.7752468771274252
668,Exposure of Resource to Wrong Sphere,Class,0.7747020920579457
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7713179223276962
405,Asymmetric Resource Consumption (Amplification),Class,0.7694026631066128
667,Improper Locking,Class,0.7676620827986027
