cwe_id,name,type,score
476,NULL Pointer Dereference,Base,0.7716509370013266
191,Integer Underflow (Wrap or Wraparound),Base,0.7633376575868478
131,Incorrect Calculation of Buffer Size,Base,0.754303865755047
125,Out-of-bounds Read,Base,0.7524914915900784
404,Improper Resource Shutdown or Release,Class,0.7503190560260062
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7497143499952359
170,Improper Null Termination,Base,0.7494797115420625
824,Access of Uninitialized Pointer,Base,0.7464272969334507
667,Improper Locking,Class,0.7430252730356268
129,Improper Validation of Array Index,Variant,0.7417881139953334
