cwe_id,name,type,score
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7695786751372138
404,Improper Resource Shutdown or Release,Class,0.7589695495638471
696,Incorrect Behavior Order,Class,0.7558293609484281
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7526692055383435
668,Exposure of Resource to Wrong Sphere,Class,0.7511717194144364
703,Improper Check or Handling of Exceptional Conditions,Pillar,0.7492792490064272
667,Improper Locking,Class,0.7444765399197506
691,Insufficient Control Flow Management,Pillar,0.7428672253363093
653,Improper Isolation or Compartmentalization,Class,0.7423426050909606
755,Improper Handling of Exceptional Conditions,Class,0.7416356796506862
