cwe_id,name,type,score
131,Incorrect Calculation of Buffer Size,Base,0.7815678281027046
191,Integer Underflow (Wrap or Wraparound),Base,0.7778154213901561
125,Out-of-bounds Read,Base,0.7770996333368737
681,Incorrect Conversion between Numeric Types,Base,0.7706006422278142
124,Buffer Underwrite ('Buffer Underflow'),Base,0.762968832631538
126,Buffer Over-read,Variant,0.7626378035164697
805,Buffer Access with Incorrect Length Value,Base,0.7597170554600705
193,Off-by-one Error,Base,0.7556620720779184
789,Memory Allocation with Excessive Size Value,Variant,0.752798712086564
190,Integer Overflow or Wraparound,Base,0.7518780162997568
