cwe_id,name,type,score
823,Use of Out-of-range Pointer Offset,Base,0.7830772467447737
193,Off-by-one Error,Base,0.7712049924553884
131,Incorrect Calculation of Buffer Size,Base,0.7707099546725588
366,Race Condition within a Thread,Base,0.7674767250502522
191,Integer Underflow (Wrap or Wraparound),Base,0.7619849573565228
667,Improper Locking,Class,0.7591768633762459
805,Buffer Access with Incorrect Length Value,Base,0.7572757434554784
197,Numeric Truncation Error,Base,0.7561000347098625
125,Out-of-bounds Read,Base,0.7553672228148112
404,Improper Resource Shutdown or Release,Class,0.7520904665286194
