cwe_id,name,type,score
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),Variant,0.7725096227628556
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7556855954182233
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7462594507562141
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),Base,0.7391262045384037
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,0.7390562932768165
184,Incomplete List of Disallowed Inputs,Base,0.7341706521846443
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7263860955169998
138,Improper Neutralization of Special Elements,Class,0.7258683113902704
150,Improper Neutralization of Escape  Meta  or Control Sequences,Variant,0.7237903024279708
162,Improper Neutralization of Trailing Special Elements,Variant,0.7233915615591504
