cwe_id,name,type,score
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7683615982335624
184,Incomplete List of Disallowed Inputs,Base,0.7570406217763366
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Base,0.7542677035465037
138,Improper Neutralization of Special Elements,Class,0.7482315878878687
134,Use of Externally-Controlled Format String,Base,0.7452947322186064
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7431293646589086
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,0.7381341908091686
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7358588194946127
116,Improper Encoding or Escaping of Output,Class,0.7331808266154733
41,Improper Resolution of Path Equivalence,Base,0.730603120139805
