cwe_id,name,type,score
611,Improper Restriction of XML External Entity Reference,Base,0.7971099563570527
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7735410540095483
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7619356473105093
610,Externally Controlled Reference to a Resource in Another Sphere,Class,0.7567689696129745
41,Improper Resolution of Path Equivalence,Base,0.7526051791935108
668,Exposure of Resource to Wrong Sphere,Class,0.7495005552676528
776,Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),Base,0.7488116839055469
345,Insufficient Verification of Data Authenticity,Class,0.7451136465369483
184,Incomplete List of Disallowed Inputs,Base,0.7436032813184076
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7431097695317099
