cwe_id,name,type,score
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7742039175765449
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7548073498056681
943,Improper Neutralization of Special Elements in Data Query Logic,Class,0.7541631784354571
184,Incomplete List of Disallowed Inputs,Base,0.7523451628184491
138,Improper Neutralization of Special Elements,Class,0.7471785342985184
73,External Control of File Name or Path,Base,0.7438842682632241
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7433467826290466
41,Improper Resolution of Path Equivalence,Base,0.7424950286195242
134,Use of Externally-Controlled Format String,Base,0.7393111267227981
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,0.739302287291917
