cwe_id,name,type,score
404,Improper Resource Shutdown or Release,Class,0.7627381681047014
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7512770029718943
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7490948683038567
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7446411916124493
667,Improper Locking,Class,0.743340837554511
668,Exposure of Resource to Wrong Sphere,Class,0.7399238226277294
703,Improper Check or Handling of Exceptional Conditions,Pillar,0.736170585517363
755,Improper Handling of Exceptional Conditions,Class,0.7318869660952517
789,Memory Allocation with Excessive Size Value,Variant,0.731054525609604
41,Improper Resolution of Path Equivalence,Base,0.7305117653052049
