cwe_id,name,type,score
59,Improper Link Resolution Before File Access ('Link Following'),Base,0.7718746810887775
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7596819733502405
184,Incomplete List of Disallowed Inputs,Base,0.7593796419745281
41,Improper Resolution of Path Equivalence,Base,0.756764144813686
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Base,0.7523750995480323
61,UNIX Symbolic Link (Symlink) Following,Compound,0.7509653771336033
73,External Control of File Name or Path,Base,0.748304786371229
23,Relative Path Traversal,Base,0.746751320794367
138,Improper Neutralization of Special Elements,Class,0.7464598766815005
150,Improper Neutralization of Escape  Meta  or Control Sequences,Variant,0.7440574096982918
