cwe_id,name,type,score
404,Improper Resource Shutdown or Release,Class,0.7673107017509165
131,Incorrect Calculation of Buffer Size,Base,0.7663151756907238
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7644098097281181
191,Integer Underflow (Wrap or Wraparound),Base,0.7630947134824961
125,Out-of-bounds Read,Base,0.7606233427946043
667,Improper Locking,Class,0.7576509813799193
665,Improper Initialization,Class,0.7563143261202949
909,Missing Initialization of Resource,Class,0.7559516880114123
908,Use of Uninitialized Resource,Base,0.7526505561557764
754,Improper Check for Unusual or Exceptional Conditions,Class,0.752042157155634
