cwe_id,name,type,score
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7972158095305287
131,Incorrect Calculation of Buffer Size,Base,0.7745067904193826
1288,Improper Validation of Consistency within Input,Base,0.7713525221152655
606,Unchecked Input for Loop Condition,Base,0.7688098452727783
191,Integer Underflow (Wrap or Wraparound),Base,0.765914076403606
124,Buffer Underwrite ('Buffer Underflow'),Base,0.7603394264385651
805,Buffer Access with Incorrect Length Value,Base,0.7583503834255564
179,Incorrect Behavior Order: Early Validation,Base,0.7563408416120628
125,Out-of-bounds Read,Base,0.752899452772255
681,Incorrect Conversion between Numeric Types,Base,0.7527181909090161
