cwe_id,name,type,score
805,Buffer Access with Incorrect Length Value,Base,0.78309124576795
191,Integer Underflow (Wrap or Wraparound),Base,0.7740754517453572
130,Improper Handling of Length Parameter Inconsistency,Base,0.7725688945369644
131,Incorrect Calculation of Buffer Size,Base,0.7683697163676959
126,Buffer Over-read,Variant,0.7612891324967034
124,Buffer Underwrite ('Buffer Underflow'),Base,0.7605125999005463
193,Off-by-one Error,Base,0.7563806191638316
125,Out-of-bounds Read,Base,0.7540171322748062
197,Numeric Truncation Error,Base,0.7454462149794832
190,Integer Overflow or Wraparound,Base,0.7443670399560969
