cwe_id,name,type,score
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),Variant,0.7737349222037986
125,Out-of-bounds Read,Base,0.7618948455337
130,Improper Handling of Length Parameter Inconsistency,Base,0.7618102284364674
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7586037359647
191,Integer Underflow (Wrap or Wraparound),Base,0.7490819407679252
184,Incomplete List of Disallowed Inputs,Base,0.7477593923106428
41,Improper Resolution of Path Equivalence,Base,0.7469921263403793
131,Incorrect Calculation of Buffer Size,Base,0.744200041038237
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7430052748679905
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7400262869595651
