cwe_id,name,type,score
405,Asymmetric Resource Consumption (Amplification),Class,0.7683984755606954
1176,Inefficient CPU Computation,Class,0.7539761070991359
407,Inefficient Algorithmic Complexity,Class,0.7445930769882001
404,Improper Resource Shutdown or Release,Class,0.7444814332474159
799,Improper Control of Interaction Frequency,Class,0.7422910025912887
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7351132941500799
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7343749807519352
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7339852861529431
668,Exposure of Resource to Wrong Sphere,Class,0.7279898477950314
1390,Weak Authentication,Class,0.7244344027248849
