cwe_id,name,type,score
667,Improper Locking,Class,0.7974210308982312
41,Improper Resolution of Path Equivalence,Base,0.795931079354815
404,Improper Resource Shutdown or Release,Class,0.7865602836372847
366,Race Condition within a Thread,Base,0.7856768083388559
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.7834738107851662
59,Improper Link Resolution Before File Access ('Link Following'),Base,0.7779932989426028
451,User Interface (UI) Misrepresentation of Critical Information,Class,0.7751999804940954
754,Improper Check for Unusual or Exceptional Conditions,Class,0.775002939634291
125,Out-of-bounds Read,Base,0.7743183267160996
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7741803741630484
