cwe_id,name,type,score
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,0.774419504175796
404,Improper Resource Shutdown or Release,Class,0.7612986287363279
667,Improper Locking,Class,0.7603247857771882
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7582900824388227
668,Exposure of Resource to Wrong Sphere,Class,0.7513849681656182
41,Improper Resolution of Path Equivalence,Base,0.7508135598611603
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.7488628355671185
203,Observable Discrepancy,Base,0.7485591516904406
208,Observable Timing Discrepancy,Base,0.746587293185134
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7460258965733484
