cwe_id,name,type,score
639,Authorization Bypass Through User-Controlled Key,Base,0.7765721914801722
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7591683021050113
1390,Weak Authentication,Class,0.7580982136007004
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.753364251566384
472,External Control of Assumed-Immutable Web Parameter,Base,0.7520854500746914
204,Observable Response Discrepancy,Base,0.7514665313457567
1391,Use of Weak Credentials,Class,0.7499804273880021
303,Incorrect Implementation of Authentication Algorithm,Base,0.7472108588860082
302,Authentication Bypass by Assumed-Immutable Data,Base,0.7459703061662564
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7457484938632654
