cwe_id,name,type,score
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7785588578594198
184,Incomplete List of Disallowed Inputs,Base,0.7633217389309852
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7546766823082761
138,Improper Neutralization of Special Elements,Class,0.7546202798640289
41,Improper Resolution of Path Equivalence,Base,0.7545808406709403
23,Relative Path Traversal,Base,0.7522769828984146
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7474650722861518
73,External Control of File Name or Path,Base,0.7457819976707537
183,Permissive List of Allowed Inputs,Base,0.7446396171660571
1286,Improper Validation of Syntactic Correctness of Input,Base,0.7422566323243359
