cwe_id,name,type,score
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7696332616075894
150,Improper Neutralization of Escape  Meta  or Control Sequences,Variant,0.7583933184791591
184,Incomplete List of Disallowed Inputs,Base,0.7570663269037528
138,Improper Neutralization of Special Elements,Class,0.753034130565511
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7517522403048079
838,Inappropriate Encoding for Output Context,Base,0.7482628711587399
134,Use of Externally-Controlled Format String,Base,0.7475571834494106
41,Improper Resolution of Path Equivalence,Base,0.7449135283589161
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7435913932121105
73,External Control of File Name or Path,Base,0.7427965039573885
