cwe_id,name,type,score
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7847383829844965
184,Incomplete List of Disallowed Inputs,Base,0.7807779432728259
183,Permissive List of Allowed Inputs,Base,0.7689646710165037
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7681873741474655
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7632236096080609
138,Improper Neutralization of Special Elements,Class,0.7628897070779364
115,Misinterpretation of Input,Base,0.7544139413562427
1288,Improper Validation of Consistency within Input,Base,0.7467381027489559
1286,Improper Validation of Syntactic Correctness of Input,Base,0.7428273054320969
179,Incorrect Behavior Order: Early Validation,Base,0.7416278423603926
