cwe_id,name,type,score
611,Improper Restriction of XML External Entity Reference,Base,0.8027089853839039
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7756578342490569
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.766486682073327
610,Externally Controlled Reference to a Resource in Another Sphere,Class,0.7608502611468457
41,Improper Resolution of Path Equivalence,Base,0.7543243555973922
73,External Control of File Name or Path,Base,0.7529556100885098
184,Incomplete List of Disallowed Inputs,Base,0.749328625555242
668,Exposure of Resource to Wrong Sphere,Class,0.7467872150687993
776,Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),Base,0.7455878782421708
552,Files or Directories Accessible to External Parties,Base,0.7448010115189346
