cwe_id,name,type,score
668,Exposure of Resource to Wrong Sphere,Class,0.7787893756322692
266,Incorrect Privilege Assignment,Base,0.7698991701517522
653,Improper Isolation or Compartmentalization,Class,0.7692058505048912
267,Privilege Defined With Unsafe Actions,Base,0.7658651035811073
274,Improper Handling of Insufficient Privileges,Base,0.7638896038836887
497,Exposure of Sensitive System Information to an Unauthorized Control Sphere,Base,0.7602330184250627
41,Improper Resolution of Path Equivalence,Base,0.7530737269222662
280,Improper Handling of Insufficient Permissions or Privileges ,Base,0.7496980389988585
552,Files or Directories Accessible to External Parties,Base,0.7491661477913693
610,Externally Controlled Reference to a Resource in Another Sphere,Class,0.7489245852060715
