cwe_id,name,type,score
23,Relative Path Traversal,Base,0.7750654840546058
59,Improper Link Resolution Before File Access ('Link Following'),Base,0.7733863256980437
426,Untrusted Search Path,Base,0.7714741045344216
41,Improper Resolution of Path Equivalence,Base,0.7695065924341504
427,Uncontrolled Search Path Element,Base,0.769288270105959
266,Incorrect Privilege Assignment,Base,0.7661682129687549
668,Exposure of Resource to Wrong Sphere,Class,0.7648423528232307
73,External Control of File Name or Path,Base,0.76009427483576
267,Privilege Defined With Unsafe Actions,Base,0.7589485737659223
184,Incomplete List of Disallowed Inputs,Base,0.7496306796180185
