cwe_id,name,type,score
1336,Improper Neutralization of Special Elements Used in a Template Engine,Base,0.7865616830050015
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7775072982992292
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7670742731758544
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,0.7604996929276207
184,Incomplete List of Disallowed Inputs,Base,0.7561310481908035
138,Improper Neutralization of Special Elements,Class,0.7489763997473993
116,Improper Encoding or Escaping of Output,Class,0.7484254838844693
639,Authorization Bypass Through User-Controlled Key,Base,0.7448750672560052
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7429426819040326
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,0.7418878175549247
