cwe_id,name,type,score
191,Integer Underflow (Wrap or Wraparound),Base,0.7850879247072411
125,Out-of-bounds Read,Base,0.7783340941705177
667,Improper Locking,Class,0.7775853356991028
131,Incorrect Calculation of Buffer Size,Base,0.7747089472972613
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.773958693674174
805,Buffer Access with Incorrect Length Value,Base,0.7709954809880528
824,Access of Uninitialized Pointer,Base,0.7701720785521822
126,Buffer Over-read,Variant,0.7700717273677248
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,0.7673663878484229
908,Use of Uninitialized Resource,Base,0.7654063086907679
