cwe_id,name,type,score
911,Improper Update of Reference Count,Base,0.7919427938689496
366,Race Condition within a Thread,Base,0.7876817177522989
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.773097929483857
404,Improper Resource Shutdown or Release,Class,0.7721779900005671
667,Improper Locking,Class,0.7697082058740023
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.7574409537203137
662,Improper Synchronization,Class,0.7492282510130905
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,0.7433203662576013
665,Improper Initialization,Class,0.7387572429233615
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7385847295457844
