cwe_id,name,type,score
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7769772897872561
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7747451734320626
184,Incomplete List of Disallowed Inputs,Base,0.7746104108318534
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.773126848072933
138,Improper Neutralization of Special Elements,Class,0.7665099399096977
472,External Control of Assumed-Immutable Web Parameter,Base,0.7636204993830338
116,Improper Encoding or Escaping of Output,Class,0.7622078849137655
639,Authorization Bypass Through User-Controlled Key,Base,0.7595852047404875
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7581806493980091
41,Improper Resolution of Path Equivalence,Base,0.7555519033169973
