cwe_id,name,type,score
73,External Control of File Name or Path,Base,0.7593179515155797
23,Relative Path Traversal,Base,0.7589372374741943
274,Improper Handling of Insufficient Privileges,Base,0.7560626770521196
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.753906100935918
639,Authorization Bypass Through User-Controlled Key,Base,0.7536778620126974
41,Improper Resolution of Path Equivalence,Base,0.7519212337159287
653,Improper Isolation or Compartmentalization,Class,0.7517886980283939
280,Improper Handling of Insufficient Permissions or Privileges ,Base,0.7517790712973051
1390,Weak Authentication,Class,0.7509492849603395
668,Exposure of Resource to Wrong Sphere,Class,0.7497627551905679
