cwe_id,name,type,score
366,Race Condition within a Thread,Base,0.7933535846607289
415,Double Free,Variant,0.784177897400159
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7761371141468827
404,Improper Resource Shutdown or Release,Class,0.7702389918851557
667,Improper Locking,Class,0.7648089128342497
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.7605610980057929
416,Use After Free,Variant,0.7461218150462632
754,Improper Check for Unusual or Exceptional Conditions,Class,0.74467127286251
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,0.7435167049440234
824,Access of Uninitialized Pointer,Base,0.7404012581713975
