cwe_id,name,type,score
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7686331378295627
943,Improper Neutralization of Special Elements in Data Query Logic,Class,0.7576665376644813
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7515773435777242
184,Incomplete List of Disallowed Inputs,Base,0.7511416716268022
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,0.7403154679180106
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7392708048555896
138,Improper Neutralization of Special Elements,Class,0.7388116884170083
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Base,0.7334245590535982
116,Improper Encoding or Escaping of Output,Class,0.7312440005436036
1236,Improper Neutralization of Formula Elements in a CSV File,Base,0.7264425031538124
