cwe_id,name,type,score
131,Incorrect Calculation of Buffer Size,Base,0.7912581771022993
197,Numeric Truncation Error,Base,0.7889132913717769
191,Integer Underflow (Wrap or Wraparound),Base,0.7862427687057424
681,Incorrect Conversion between Numeric Types,Base,0.7734466240511418
805,Buffer Access with Incorrect Length Value,Base,0.7713322903040586
124,Buffer Underwrite ('Buffer Underflow'),Base,0.762994051236112
129,Improper Validation of Array Index,Variant,0.7625186326477399
680,Integer Overflow to Buffer Overflow,Compound,0.7592655300132387
190,Integer Overflow or Wraparound,Base,0.7585452505064276
126,Buffer Over-read,Variant,0.7551787303093935
