cwe_id,name,type,score
668,Exposure of Resource to Wrong Sphere,Class,0.7520653636015479
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7459252625402305
639,Authorization Bypass Through User-Controlled Key,Base,0.7430731431825833
653,Improper Isolation or Compartmentalization,Class,0.7405640859035478
404,Improper Resource Shutdown or Release,Class,0.739837399435753
41,Improper Resolution of Path Equivalence,Base,0.738407906057823
274,Improper Handling of Insufficient Privileges,Base,0.7355231087994198
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,0.7343083333961203
1220,Insufficient Granularity of Access Control,Base,0.7342472252336965
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7342036263371394
