cwe_id,name,type,score
41,Improper Resolution of Path Equivalence,Base,0.782144747139697
23,Relative Path Traversal,Base,0.7790577227626942
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7766384649939015
73,External Control of File Name or Path,Base,0.7765797248190307
59,Improper Link Resolution Before File Access ('Link Following'),Base,0.7758188179077041
667,Improper Locking,Class,0.7669568441922539
125,Out-of-bounds Read,Base,0.7668541314752884
184,Incomplete List of Disallowed Inputs,Base,0.7654172640541353
36,Absolute Path Traversal,Base,0.7628994097947777
24,Path Traversal: '../filedir',Variant,0.7614628218814822
