cwe_id,name,type,score
625,Permissive Regular Expression,Base,0.744466949921093
41,Improper Resolution of Path Equivalence,Base,0.7315637216832384
674,Uncontrolled Recursion,Class,0.7309160289914405
668,Exposure of Resource to Wrong Sphere,Class,0.7305209923460612
186,Overly Restrictive Regular Expression,Base,0.7258261129499008
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7253323391345949
138,Improper Neutralization of Special Elements,Class,0.7243493305084944
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7211298095132539
703,Improper Check or Handling of Exceptional Conditions,Pillar,0.7202816683041218
252,Unchecked Return Value,Base,0.7198979385714988
