cwe_id,name,type,score,relationship_count
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),base,4.472,0
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),base,4.329000000000001,0
613,Insufficient Session Expiration,base,4.329000000000001,0
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),base,3.6399999999999997,0
290,Authentication Bypass by Spoofing,base,3.2656,0
471,Modification of Assumed-Immutable Data (MAID),base,3.055,0
20,Improper Input Validation,class,2.984,0
41,Improper Resolution of Path Equivalence,Base,2.905277882770391,0
73,External Control of File Name or Path,base,2.8651999999999997,0
