cwe_id,name,type,score,relationship_count
128,Wrap-around Error,base,5.031000000000001,0
190,Integer Overflow or Wraparound,base,5.031000000000001,0
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),base,5.031000000000001,0
195,Signed to Unsigned Conversion Error,variant,4.5264,0
170,Improper Null Termination,base,4.329000000000001,0
1284,Improper Validation of Specified Quantity in Input,base,4.329000000000001,0
494,Download of Code Without Integrity Check,base,4.329000000000001,0
385,Covert Timing Channel,base,4.329000000000001,0
787,Out-of-bounds Write,base,3.8870000000000005,0
123,Write-what-where Condition,base,3.8870000000000005,0
