cwe_id,name,type,score,relationship_count
471,Modification of Assumed-Immutable Data (MAID),base,4.329000000000001,0
178,Improper Handling of Case Sensitivity,base,3.757,0
420,Unprotected Alternate Channel,base,3.6399999999999997,0
1289,Improper Validation of Unsafe Equivalence in Input,base,3.6399999999999997,0
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,3.4866,0
73,External Control of File Name or Path,base,3.3566,0
41,Improper Resolution of Path Equivalence,base,3.1252000000000004,0
425,Direct Request ('Forced Browsing'),Base,2.8933431279143487,0
322,Key Exchange without Entity Authentication,base,2.8651999999999997,0
289,Authentication Bypass by Alternate Name,base,2.8651999999999997,0
