cwe_id,name,type,score,relationship_count
1339,Insufficient Precision or Accuracy of a Real Number,base,5.031000000000001,0
190,Integer Overflow or Wraparound,base,4.505800000000001,0
123,Write-what-where Condition,base,4.329000000000001,0
770,Allocation of Resources Without Limits or Throttling,base,4.329000000000001,0
1284,Improper Validation of Specified Quantity in Input,base,4.329000000000001,0
476,NULL Pointer Dereference,base,4.329000000000001,0
170,Improper Null Termination,base,3.5671999999999997,0
1325,Improperly Controlled Sequential Memory Allocation,Base,3.3423669638424527,0
789,Memory Allocation with Excessive Size Value,Variant,3.0353570350939947,0
134,Use of Externally-Controlled Format String,Base,2.892135787632639,0
