cwe_id,name,type,score,relationship_count
170,Improper Null Termination,base,5.031000000000001,0
190,Integer Overflow or Wraparound,base,4.329000000000001,0
617,Reachable Assertion,base,4.329000000000001,0
1284,Improper Validation of Specified Quantity in Input,base,4.329000000000001,0
787,Out-of-bounds Write,base,3.8870000000000005,0
463,Deletion of Data Structure Sentinel,base,3.6399999999999997,0
1339,Insufficient Precision or Accuracy of a Real Number,base,3.5671999999999997,0
128,Wrap-around Error,base,3.5671999999999997,0
805,Buffer Access with Incorrect Length Value,Base,2.9121741332887168,0
131,Incorrect Calculation of Buffer Size,Base,2.9099723530882162,0
