cwe_id,name,type,score,relationship_count
322,Key Exchange without Entity Authentication,base,5.031000000000001,0
178,Improper Handling of Case Sensitivity,base,4.329000000000001,0
350,Reliance on Reverse DNS Resolution for a Security-Critical Action,variant,3.8784,0
358,Improperly Implemented Security Check for Standard,base,3.6399999999999997,0
295,Improper Certificate Validation,base,3.6399999999999997,0
433,Unparsed Raw Web Content Delivery,variant,3.24,0
289,Authentication Bypass by Alternate Name,Base,2.9046667699629274,0
494,Download of Code Without Integrity Check,base,2.821,0
561,Dead Code,base,2.821,0
215,Insertion of Sensitive Information Into Debugging Code,base,2.821,0
