cwe_id,name,type,score,relationship_count
471,Modification of Assumed-Immutable Data (MAID),base,4.329000000000001,0
494,Download of Code Without Integrity Check,base,4.329000000000001,0
843,Access of Resource Using Incompatible Type ('Type Confusion'),base,4.329000000000001,0
502,Deserialization of Untrusted Data,base,3.6399999999999997,0
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Base,3.3178257642370945,0
352,Cross-Site Request Forgery (CSRF),compound,2.6308000000000002,0
1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),Variant,2.6275668511185724,0
119,Improper Restriction of Operations within the Bounds of a Memory Buffer,class,2.5519999999999996,0
621,Variable Extraction Error,variant,2.5507200000000005,0
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),variant,2.5507200000000005,0
