cwe_id,name,type,score,relationship_count
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),base,5.031000000000001,0
170,Improper Null Termination,base,5.031000000000001,0
195,Signed to Unsigned Conversion Error,variant,4.5264,0
123,Write-what-where Condition,base,4.329000000000001,0
770,Allocation of Resources Without Limits or Throttling,base,4.329000000000001,0
1284,Improper Validation of Specified Quantity in Input,base,4.329000000000001,0
617,Reachable Assertion,base,4.329000000000001,0
476,NULL Pointer Dereference,base,4.329000000000001,0
463,Deletion of Data Structure Sentinel,base,3.6399999999999997,0
1325,Improperly Controlled Sequential Memory Allocation,Base,3.3151686234639524,0
