cwe_id,name,type,score,relationship_count
205,Observable Behavioral Discrepancy,base,4.329000000000001,0
201,Insertion of Sensitive Information Into Sent Data,base,4.329000000000001,0
226,Sensitive Information in Resource Not Removed Before Reuse,Base,2.9047159484269267,0
941,Incorrectly Specified Destination in a Communication Channel,Base,2.8936887568745,0
1272,Sensitive Information Uncleared Before Debug/Power State Transition,base,2.8651999999999997,0
212,Improper Removal of Sensitive Information Before Storage or Transfer,base,2.73416,0
322,Key Exchange without Entity Authentication,base,2.73416,0
619,Dangling Database Cursor ('Cursor Injection'),base,2.73416,0
499,Serializable Class Containing Sensitive Data,variant,2.6784000000000003,0
498,Cloneable Class Containing Sensitive Information,variant,2.6784000000000003,0
