cwe_id,name,type,score,relationship_count
205,Observable Behavioral Discrepancy,base,4.329000000000001,0
416,Use After Free,variant,3.24,0
252,Unchecked Return Value,base,3.06904,0
941,Incorrectly Specified Destination in a Communication Channel,Base,2.9261775281290707,0
476,NULL Pointer Dereference,base,2.8651999999999997,0
681,Incorrect Conversion between Numeric Types,base,2.73416,0
386,Symbolic Name not Mapping to Correct Object,base,2.7107600000000005,0
123,Write-what-where Condition,base,2.7014000000000005,0
415,Double Free,variant,2.68272,0
942,Permissive Cross-domain Policy with Untrusted Domains,variant,2.6784000000000003,0
