cwe_id,name,type,score,relationship_count
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
321,Use of Hard-coded Cryptographic Key,variant,4.0104,0
259,Use of Hard-coded Password,variant,4.0104,0
257,Storing Passwords in a Recoverable Format,base,3.6399999999999997,0
73,External Control of File Name or Path,Base,3.208115998049094,0
41,Improper Resolution of Path Equivalence,Base,2.921867629568821,0
59,Improper Link Resolution Before File Access ('Link Following'),Base,2.915177545680846,0
322,Key Exchange without Entity Authentication,base,2.8651999999999997,0
182,Collapse of Data into Unsafe Value,base,2.821,0
942,Permissive Cross-domain Policy with Untrusted Domains,variant,2.6784000000000003,0
