cwe_id,name,type,score,relationship_count
434,Unrestricted Upload of File with Dangerous Type,base,5.031000000000001,0
183,Permissive List of Allowed Inputs,base,4.8204,0
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),variant,3.8784,0
430,Deployment of Wrong Handler,base,3.6399999999999997,0
351,Insufficient Type Distinction,base,3.6399999999999997,0
73,External Control of File Name or Path,Base,3.2047892890059506,0
184,Incomplete List of Disallowed Inputs,Base,3.1852876426680834,0
843,Access of Resource Using Incompatible Type ('Type Confusion'),base,2.9120000000000004,0
41,Improper Resolution of Path Equivalence,Base,2.9103183911126496,0
