cwe_id,name,type,score,relationship_count
208,Observable Timing Discrepancy,base,4.329000000000001,0
385,Covert Timing Channel,base,4.329000000000001,0
327,Use of a Broken or Risky Cryptographic Algorithm,class,2.984,0
259,Use of Hard-coded Password,variant,2.9184000000000005,0
804,Guessable CAPTCHA,base,2.8651999999999997,0
203,Observable Discrepancy,base,2.4699999999999998,0
338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),base,2.4699999999999998,0
472,External Control of Assumed-Immutable Web Parameter,base,2.2921600000000004,0
613,Insufficient Session Expiration,base,2.2100000000000004,0
301,Reflection Attack in an Authentication Protocol,base,2.1762,0
